'2026-05-29 16:08:22 {main} INFO  c.u.m.n.NotificacionServiceApplication - Starting NotificacionServiceApplication using Java 17.0.12 with PID 7716 (D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service\target\classes started by Soporte in D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service)
''2026-05-29 21:54:56 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Evento recibido - routing key: cita.confirmada
''2026-05-29 21:54:56 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Notificación guardada en BD para usuario ID: 4
''2026-05-29 21:54:56 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} WARN  c.u.m.n.l.NotificacionesListener - Evento 'cita.confirmada' sin correo destino para usuario ID: 4
''2026-05-29 21:58:56 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 22:03:57 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 22:03:57 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Evento recibido - routing key: cita.confirmada
''2026-05-29 22:03:58 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Notificación guardada en BD para usuario ID: 4
''2026-05-29 22:03:58 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} WARN  c.u.m.n.l.NotificacionesListener - Evento 'cita.confirmada' sin correo destino para usuario ID: 4
''2026-05-29 22:05:39 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Evento recibido - routing key: cita.reprogramada
''2026-05-29 22:05:39 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Notificación guardada en BD para usuario ID: 4
''2026-05-29 22:05:39 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} WARN  c.u.m.n.l.NotificacionesListener - Evento 'cita.reprogramada' sin correo destino para usuario ID: 4
''2026-05-29 22:05:50 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Evento recibido - routing key: cita.cancelada
''2026-05-29 22:05:50 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} INFO  c.u.m.n.l.NotificacionesListener - Notificación guardada en BD para usuario ID: 4
''2026-05-29 22:05:50 {org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1} WARN  c.u.m.n.l.NotificacionesListener - Evento 'cita.cancelada' sin correo destino para usuario ID: 4
''2026-05-29 22:08:57 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
'
